"Competitor","Known domain","Confirm / correct domain","Lines (lighting / controls / both)","Kind (manufacturer, distributor, retailer, integrator, designer, contractor)","City","Is this a COMPANY or a BRAND/showroom?","Tier 1-3 (1 = on most shortlists)","Roughly how many shortlists a year?","Last contested deal (project)","What beat us? (price / lead time / spec lock-in / relationship / agency rights)","Which consultants or contractors are they close to?","Notes"
"Al Nasser Group","AMBIGUOUS — please confirm","","lighting + controls","manufacturer + distributor + retailer + integrator","Riyadh","","","","","","",""
"Huda Lighting","hudalighting.com","","lighting","brand + supplier","Riyadh","","","","","","",""
"Nassli Group","nassli.com.sa","","lighting + controls","manufacturer + integrator","Saudi Arabia","","","","","","",""
"Sela-PASS","selapass.com","","controls","integrator","Riyadh","","","","","","",""
"Armada","armadasolutions.com.sa","","lighting + controls","supplier","Riyadh","","","","","","",""
"Futuron","futuron.sa","","controls","integrator","Riyadh","","","","","","",""
"ViaLighting","vialighting.com","","lighting","supplier","Riyadh","","","","","","",""
"Spectra Electricals","spectra.com.sa","","lighting + controls","supplier","Riyadh","","","","","","",""
"SAS Systems Engineering","sas-se.com","","controls","integrator","Jeddah","","","","","","",""
"Nouran Lighting","nouran.net","","lighting","supplier","Riyadh","","","","","","",""
"MASQ Lighting","masqlighting.com","","lighting","designer + supplier","Riyadh","","","","","","",""
"Prime Star Technologies","primestartech.com","","controls","contractor","Riyadh","","","","","","",""
"Namaraa","namaraa.com","","lighting","supplier","Riyadh","","","","","","",""
"Spectrum Lighting","AMBIGUOUS — please confirm","","lighting","designer","","","","","","","",""
"Greenlight","NOT FOUND — please supply","","lighting","","","","","","","","",""
"Al Dhow","NOT FOUND — please supply","","lighting","","","","","","","","",""
"Lumiere (which one? — ask sales)","AMBIGUOUS — please confirm","","lighting + controls","","","","","","","","",""
